日期,用户数,1天后,2天后,3天后,4天后,5天后,6天后,7天后,14天后,30天后
20220831,420,25.48%,20.48%,19.76%,39.29%,25.95%,16.19%,25.00%,32.86%,0.00%
20220830,418,31.58%,21.29%,19.38%,19.86%,31.82%,22.01%,13.16%,24.16%,0.00%
20220829,830,17.59%,20.96%,13.25%,10.24%,11.69%,25.18%,16.63%,19.64%,13.86%
20220828,1275,19.37%,12.00%,12.71%,9.33%,8.00%,8.78%,22.75%,16.00%,11.53%
20220827,779,28.63%,24.13%,15.53%,17.84%,13.09%,9.50%,12.32%,8.47%,18.23%
20220826,836,29.07%,26.20%,23.33%,15.19%,18.18%,11.96%,10.41%,16.51%,20.10%
20220825,537,38.18%,32.03%,33.52%,30.73%,17.88%,22.53%,14.15%,11.36%,17.69%
20220824,455,36.92%,40.00%,35.16%,34.95%,30.77%,21.10%,27.69%,20.44%,17.80%
20220823,330,32.12%,27.58%,30.30%,30.91%,31.52%,26.97%,22.12%,11.52%,21.82%
20220822,622,17.20%,24.92%,27.01%,27.33%,23.95%,29.90%,26.85%,17.04%,14.95%
20220821,809,20.89%,12.24%,19.53%,19.04%,21.38%,18.67%,21.01%,19.78%,9.77%
20220820,556,30.94%,30.04%,17.45%,25.00%,28.60%,32.37%,25.00%,14.57%,14.21%
20220819,362,33.15%,32.04%,29.83%,23.48%,27.35%,27.35%,30.94%,15.19%,19.06%
20220818,623,21.35%,28.73%,24.24%,26.81%,13.32%,22.31%,23.92%,12.20%,15.09%
20220817,678,29.20%,17.99%,26.40%,23.45%,22.57%,13.27%,21.68%,19.03%,17.99%
20220816,548,30.47%,26.82%,18.80%,28.10%,23.91%,24.27%,15.69%,15.69%,13.87%
20220815,540,31.48%,27.59%,28.15%,21.85%,26.67%,25.19%,23.70%,24.81%,20.56%
20220814,719,15.99%,13.91%,14.88%,12.80%,13.91%,12.24%,15.16%,16.83%,10.71%
20220813,287,30.31%,31.36%,31.01%,31.71%,25.44%,26.13%,29.27%,29.27%,28.57%
20220812,278,27.70%,26.98%,30.22%,25.18%,29.86%,29.14%,24.10%,32.73%,22.66%
20220811,319,25.71%,20.38%,22.57%,28.84%,26.65%,24.76%,23.82%,23.20%,11.60%
20220810,441,20.63%,19.27%,17.23%,20.41%,27.21%,23.58%,26.53%,22.90%,19.73%
20220809,497,27.16%,19.52%,17.71%,16.30%,18.91%,27.36%,26.16%,14.29%,12.68%
20220808,272,34.19%,26.10%,24.63%,20.59%,20.59%,17.65%,28.68%,22.06%,17.28%
20220807,613,10.28%,13.05%,11.91%,9.95%,9.14%,8.97%,13.21%,13.38%,5.22%
20220806,222,26.13%,22.52%,26.58%,21.62%,22.07%,21.17%,19.37%,24.32%,18.47%
20220805,270,20.00%,21.85%,19.63%,21.85%,22.59%,21.11%,15.19%,17.04%,21.11%
20220804,284,21.13%,20.42%,19.72%,17.61%,20.07%,21.13%,16.90%,18.31%,14.08%
20220803,282,18.79%,19.50%,15.25%,21.99%,17.02%,19.15%,20.92%,22.70%,10.99%
20220802,258,21.71%,22.09%,23.64%,19.38%,17.05%,19.38%,22.09%,18.60%,10.47%
20220801,239,25.10%,21.76%,23.43%,23.01%,17.99%,21.76%,21.76%,22.18%,18.41%
